epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,6640.92,1.36213,5.50881,1.62887,0.84511,0.80673,0.88605,0.4705,1.63781,3.14167,2.07788,0.000743468,0.000743468,0.000743468
70,6735.33,1.3506,5.54518,1.63276,0.83511,0.84737,0.89676,0.47957,1.63064,3.13458,2.06898,0.000736625,0.000736625,0.000736625
71,6830.17,1.36182,5.54806,1.63061,0.86049,0.81306,0.89431,0.47876,1.65084,3.10556,2.09727,0.000729725,0.000729725,0.000729725
72,6924.82,1.36064,5.40473,1.63554,0.841,0.82336,0.89601,0.4768,1.64399,3.13228,2.08731,0.00072277,0.00072277,0.00072277
73,7019.59,1.36531,5.48984,1.62853,0.87508,0.82167,0.89991,0.4741,1.645,3.09815,2.07605,0.000715761,0.000715761,0.000715761
74,7114.21,1.35931,5.43235,1.63327,0.84439,0.83665,0.89975,0.48268,1.61335,3.07665,2.05863,0.0007087,0.0007087,0.0007087
75,7209.19,1.33367,5.47859,1.61733,0.855,0.8418,0.90356,0.47298,1.65807,3.06415,2.09703,0.000701588,0.000701588,0.000701588
76,7304.21,1.3535,5.38906,1.62922,0.84959,0.83985,0.90392,0.49672,1.59998,3.01403,2.0502,0.000694428,0.000694428,0.000694428
77,7399.26,1.33201,5.3462,1.6169,0.85358,0.82623,0.89775,0.49701,1.57815,3.00031,2.02516,0.000687222,0.000687222,0.000687222
78,7494.15,1.3479,5.39183,1.62842,0.86079,0.83124,0.90105,0.4849,1.614,3.00117,2.0554,0.00067997,0.00067997,0.00067997
79,7588.71,1.35712,5.34387,1.62317,0.84137,0.8403,0.89678,0.49753,1.56051,3.00078,2.01001,0.000672675,0.000672675,0.000672675
80,7683.4,1.32804,5.17393,1.60567,0.86048,0.84641,0.90537,0.49918,1.59189,2.94569,2.03789,0.000665339,0.000665339,0.000665339
